* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.07, accuracy_train=0.9385630870779386, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.08, accuracy_train=0.937039857831937, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.30000000000000004, alpha= 0.09, accuracy_train=0.9364051789794364, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.01, accuracy_train=0.9522298383684522, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.02, accuracy_train=0.9481678937124481, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.03, accuracy_train=0.9448675636794449, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.04, accuracy_train=0.9427942794279428, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.05, accuracy_train=0.941017178640941, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.06, accuracy_train=0.9393247017009393, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.07, accuracy_train=0.9383092155369384, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.08, accuracy_train=0.936912922061437, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.35000000000000003, alpha= 0.09, accuracy_train=0.9359820597444359, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.4, alpha= 0.01, accuracy_train=0.9522721502919522, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.4, alpha= 0.02, accuracy_train=0.9478717102479479, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.4, alpha= 0.03, accuracy_train=0.9446983159854447, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.4, alpha= 0.04, accuracy_train=0.9427519675044428, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.4, alpha= 0.05, accuracy_train=0.9408479309469409, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.4, alpha= 0.06, accuracy_train=0.9390285182364391, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.4, alpha= 0.07, accuracy_train=0.9378014724549378, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.4, alpha= 0.08, accuracy_train=0.9367013624439366, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.4, alpha= 0.09, accuracy_train=0.9359820597444359, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.45, alpha= 0.01, accuracy_train=0.9518913429804519, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.45, alpha= 0.02, accuracy_train=0.947998646018448, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.45, alpha= 0.03, accuracy_train=0.9448252517559448, accuracy_val=0.901027788351732 
