* min_df= 2 , max_df= 0.4, alpha= 0.01, accuracy_train=0.9523567741389524, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.4, alpha= 0.02, accuracy_train=0.9472793433189473, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.4, alpha= 0.03, accuracy_train=0.9442751967504442, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.4, alpha= 0.04, accuracy_train=0.9417364813404417, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.4, alpha= 0.05, accuracy_train=0.9396631970889396, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.4, alpha= 0.06, accuracy_train=0.9380976559194381, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.4, alpha= 0.07, accuracy_train=0.9364898028264365, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.4, alpha= 0.08, accuracy_train=0.9352204451214352, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.4, alpha= 0.09, accuracy_train=0.9336549039519336, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.45, alpha= 0.01, accuracy_train=0.9523567741389524, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.45, alpha= 0.02, accuracy_train=0.9472793433189473, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.45, alpha= 0.03, accuracy_train=0.9441905729034442, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.45, alpha= 0.04, accuracy_train=0.9416941694169417, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.45, alpha= 0.05, accuracy_train=0.9397478209359398, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.45, alpha= 0.06, accuracy_train=0.9382245916899382, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.45, alpha= 0.07, accuracy_train=0.9365744266734366, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.45, alpha= 0.08, accuracy_train=0.935051197427435, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.45, alpha= 0.09, accuracy_train=0.9337395277989338, accuracy_val=0.9017891130567187 
* min_df= 3 , max_df= 0.05, alpha= 0.01, accuracy_train=0.954006939155454, accuracy_val=0.8983631518842786 
* min_df= 3 , max_df= 0.05, alpha= 0.02, accuracy_train=0.9498180587289499, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.05, alpha= 0.03, accuracy_train=0.9471100956249471, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.05, alpha= 0.04, accuracy_train=0.9457138021494457, accuracy_val=0.8979824895317853 
* min_df= 3 , max_df= 0.05, alpha= 0.05, accuracy_train=0.9440636371329441, accuracy_val=0.8972211648267986 
* min_df= 3 , max_df= 0.05, alpha= 0.06, accuracy_train=0.9422019124989423, accuracy_val=0.8968405024743052 
* min_df= 3 , max_df= 0.05, alpha= 0.07, accuracy_train=0.9411441144114412, accuracy_val=0.8976018271792919 
* min_df= 3 , max_df= 0.05, alpha= 0.08, accuracy_train=0.9398324447829398, accuracy_val=0.8976018271792919 
* min_df= 3 , max_df= 0.05, alpha= 0.09, accuracy_train=0.9386053990014386, accuracy_val=0.8979824895317853 
* min_df= 3 , max_df= 0.1, alpha= 0.01, accuracy_train=0.95002961834645, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.1, alpha= 0.02, accuracy_train=0.946052297537446, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.1, alpha= 0.03, accuracy_train=0.9434712702039435, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.1, alpha= 0.04, accuracy_train=0.940974866717441, accuracy_val=0.9033117624666921 
* min_df= 3 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9392823897774393, accuracy_val=0.9029311001141987 
* min_df= 3 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9377168486079377, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.1, alpha= 0.07, accuracy_train=0.9362782432089363, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9351358212744352, accuracy_val=0.9029311001141987 
* min_df= 3 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9346703901159347, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.01, accuracy_train=0.9484217652534485, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.02, accuracy_train=0.9441482609799442, accuracy_val=0.9036924248191854 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.03, accuracy_train=0.9420326648049421, accuracy_val=0.904453749524172 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.04, accuracy_train=0.9395362613184396, accuracy_val=0.9040730871716787 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.05, accuracy_train=0.937970720148938, accuracy_val=0.9036924248191854 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.06, accuracy_train=0.9368282982144368, accuracy_val=0.9033117624666921 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.07, accuracy_train=0.9352204451214352, accuracy_val=0.9029311001141987 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.08, accuracy_train=0.9344165185749345, accuracy_val=0.9017891130567187 
* min_df= 3 , max_df= 0.15000000000000002, alpha= 0.09, accuracy_train=0.9331471608699331, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.2, alpha= 0.01, accuracy_train=0.9471524075484472, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.2, alpha= 0.02, accuracy_train=0.9435558940509435, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.2, alpha= 0.03, accuracy_train=0.941017178640941, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.2, alpha= 0.04, accuracy_train=0.9384784632309385, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.2, alpha= 0.05, accuracy_train=0.936997545908437, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.2, alpha= 0.06, accuracy_train=0.9356858762799357, accuracy_val=0.9006471259992387 
* min_df= 3 , max_df= 0.2, alpha= 0.07, accuracy_train=0.933993399339934, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.2, alpha= 0.08, accuracy_train=0.9330625370229331, accuracy_val=0.8995051389417587 
* min_df= 3 , max_df= 0.2, alpha= 0.09, accuracy_train=0.9317931793179318, accuracy_val=0.899885801294252 
* min_df= 3 , max_df= 0.25, alpha= 0.01, accuracy_train=0.9467716002369467, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.25, alpha= 0.02, accuracy_train=0.943048150968943, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.25, alpha= 0.03, accuracy_train=0.93995938055344, accuracy_val=0.9021697754092121 
* min_df= 3 , max_df= 0.25, alpha= 0.04, accuracy_train=0.937970720148938, accuracy_val=0.9025504377617054 
* min_df= 3 , max_df= 0.25, alpha= 0.05, accuracy_train=0.9362782432089363, accuracy_val=0.9014084507042254 
* min_df= 3 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9346703901159347, accuracy_val=0.901027788351732 
* min_df= 3 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9335279681814336, accuracy_val=0.9002664636467453 
* min_df= 3 , max_df= 0.25, alpha= 0.08, accuracy_train=0.9323432343234324, accuracy_val=0.8995051389417587 
